mol,Target,Name,Degradation Identification new 1,Article_DOI,handle1,handle2,linker,atoms_NAF,Compound ID,Uniprot,E3 Ligase,Uniprot_E3,E3_PDB,Closest_E3,target_PDB,Closest_target,DC50_nM_,Dmax_prc_,Assay_DC50_Dmax_,Percent_degradation_prc_,Assay_Percent_degradation_,IC50_nM_Protac_to_Target_,Assay_Protac_to_Target_IC50_,EC50_nM_Protac_to_Target_,Assay_Protac_to_Target_EC50_,Kd_nM_Protac_to_Target_,Assay_Protac_to_Target_Kd_,Ki_nM_Protac_to_Target_,Assay_Protac_to_Target_Ki_,delta_G_kcal_mol_Protac_to_Target_,delta_H_kcal_mol_Protac_to_Target_,Tdelta_S_kcal_mol_Protac_to_Target_,Assay_Protac_to_Target_G_H_TS_,kon_1_Ms_Protac_to_Target_,koff_1_s_Protac_to_Target_,t1_2_s_Protac_to_Target_,Assay_Protac_to_Target_kon_koff_t1_2_,IC50_nM_Protac_to_E3_,Assay_Protac_to_E3_IC50_,EC50_nM_Protac_to_E3_,Assay_Protac_to_E3_EC50_,Kd_nM_Protac_to_E3_,Assay_Protac_to_E3_Kd_,Ki_nM_Protac_to_E3_,Assay_Protac_to_E3_Ki_,delta_G_kcal_mol_Protac_to_E3_,delta_H_kcal_mol_Protac_to_E3_,Tdelta_S_kcal_mol_Protac_to_E3_,Assay_Protac_to_E3_G_H_TS_,kon_1_Ms_Protac_to_E3_,koff_1_s_Protac_to_E3_,t1_2_s_Protac_to_E3_,Assay_Protac_to_E3_kon_koff_t1_2_,IC50_nM_Ternary_complex_,Assay_Ternary_complex_IC50_,EC50_nM_Ternary_complex_,Assay_Ternary_complex_EC50_,Kd_nM_Ternary_complex_,Assay_Ternary_complex_Kd_,Ki_nM_Ternary_complex_,Assay_Ternary_complex_Ki_,delta_G_kcal_mol_Ternary_complex_,delta_H_kcal_mol_Ternary_complex_,Tdelta_S_kcal_mol_Ternary_complex_,Assay_Ternary_complex_G_H_TS_,kon_1_Ms_Ternary_complex_,koff_1_s_Ternary_complex_,t1_2_s_Ternary_complex_,Assay_Ternary_complex_kon_koff_t1_2_,IC50_nM_Cellular_activities_,Assay_Cellular_activities_IC50_,EC50_nM_Cellular_activities_,Assay_Cellular_activities_EC50_,GI50_nM_Cellular_activities_,Assay_Cellular_activities_GI50_,ED50_nM_Cellular_activities_,Assay_Cellular_activities_ED50_,GR50_nM_Cellular_activities_,Assay_Cellular_activities_GR50_,PAMPA_Papp_nm_s_Permeability_,Assay_Permeability_PAMPA_Papp_,Caco_2_A2B_Papp_nm_s_Permeability_,Assay_Permeability_Caco_2_A2B_Papp_,Caco_2_B2A_Papp_nm_s_Permeability_,Assay_Permeability_Caco_2_B2A_Papp_,Molecular_Weight,Exact_Mass,XLogP3,Heavy_Atom_Count,Ring_Count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Rotatable_Bond_Count,Topological_Polar_Surface_Area,Molecular_Formula,InChI,InChI_Key
CN1C=C(c2cc(c(CN3CCN(CC3)CCOCCOCC(NCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c(c2)OC)OC)c2ccncc2C1=O,BRD9,,Good,10.1021/acs.jmedchem.8b01413,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,CN1C=C(c2cc(c(CN3CCN(CC3)CCOC)c(c2)OC)OC)c2ccncc2C1=O,CCNC(COC)=O,0,1,Q9H8M2,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,6HM0,6HM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Inhibit proliferation of EOL-1/A-402 cells,,,,,,,,,,,,,838.919,838.3649898,0.7,61,7,15,3,18,202.97,C43H50N8O10,"InChI=1S/C43H50N8O10/c1-48-24-31(28-9-10-44-23-30(28)41(48)55)27-21-35(58-2)32(36(22-27)59-3)25-50-15-13-49(14-16-50)17-18-60-19-20-61-26-38(53)46-12-11-45-33-6-4-5-29-39(33)43(57)51(42(29)56)34-7-8-37(52)47-40(34)54/h4-6,9-10,21-24,34,45H,7-8,11-20,25-26H2,1-3H3,(H,46,53)(H,47,52,54)",RMBNUDOJPQLHMV-UHFFFAOYSA-N
CN1C=C(c2cc(c(CN3CCN(CC3)CCOCCOCCOCCOCC(NCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c(c2)OC)OC)c2ccncc2C1=O,BRD9,,Good,10.1021/acs.jmedchem.8b01413,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,CN1C=C(c2cc(c(CN3CCN(CC3)CCOC)c(c2)OC)OC)c2ccncc2C1=O,CCNC(COCCOCCOC)=O,0,2,Q9H8M2,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,6HM0,6HM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927.025,926.4174193,0.4,67,7,17,3,24,221.43,C47H58N8O12,"InChI=1S/C47H58N8O12/c1-52-28-35(32-9-10-48-27-34(32)45(52)59)31-25-39(62-2)36(40(26-31)63-3)29-54-15-13-53(14-16-54)17-18-64-19-20-65-21-22-66-23-24-67-30-42(57)50-12-11-49-37-6-4-5-33-43(37)47(61)55(46(33)60)38-7-8-41(56)51-44(38)58/h4-6,9-10,25-28,38,49H,7-8,11-24,29-30H2,1-3H3,(H,50,57)(H,51,56,58)",SDNYQFJDRMQSRQ-UHFFFAOYSA-N
CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C(NCCCCNC(COc2cccc3C(N(C4CCC(NC4=O)=O)C(c23)=O)=O)=O)=O)n1)c1c(C)noc1C)OC,BRD2,,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C=O)n1)c1c(C)noc1C)OC,C(CCNC(CO)=O)CN,2,3,P25440,CRBN,Q96SW2,7BQU,7BQU,4ALH,4ALH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,871.912,871.340172,3.78,64,9,15,5,16,257.66,C44H45N11O9,"InChI=1S/C44H45N11O9/c1-5-54-32(19-27(52-54)23-11-12-23)48-39-37-25-18-31(62-4)26(35-21(2)53-64-22(35)3)17-28(25)47-38(37)50-40(51-39)42(59)46-16-7-6-15-45-34(57)20-63-30-10-8-9-24-36(30)44(61)55(43(24)60)29-13-14-33(56)49-41(29)58/h8-10,17-19,23,29H,5-7,11-16,20H2,1-4H3,(H,45,57)(H,46,59)(H,49,56,58)(H2,47,48,50,51)",TXLUZGFDBDQACL-UHFFFAOYSA-N
CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C(NCCCCNC(COc2cccc3C(N(C4CCC(NC4=O)=O)C(c23)=O)=O)=O)=O)n1)c1c(C)noc1C)OC,BRD4,,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C=O)n1)c1c(C)noc1C)OC,C(CCNC(CO)=O)CN,2,4,O60885,CRBN,Q96SW2,7BQU,7BQU,6C7R,6C7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,871.912,871.340172,3.78,64,9,15,5,16,257.66,C44H45N11O9,"InChI=1S/C44H45N11O9/c1-5-54-32(19-27(52-54)23-11-12-23)48-39-37-25-18-31(62-4)26(35-21(2)53-64-22(35)3)17-28(25)47-38(37)50-40(51-39)42(59)46-16-7-6-15-45-34(57)20-63-30-10-8-9-24-36(30)44(61)55(43(24)60)29-13-14-33(56)49-41(29)58/h8-10,17-19,23,29H,5-7,11-16,20H2,1-4H3,(H,45,57)(H,46,59)(H,49,56,58)(H2,47,48,50,51)",TXLUZGFDBDQACL-UHFFFAOYSA-N
CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C(NCCCCNC(CNc2cccc3C(N(C4CCC(NC4=O)=O)C(c23)=O)=O)=O)=O)n1)c1c(C)noc1C)OC,BRD2,,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C=O)n1)c1c(C)noc1C)OC,CC(NCCCCN)=O,2,5,P25440,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,4ALH,4ALH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,870.928,870.3561564,4.35,64,9,15,6,16,260.46,C44H46N12O8,"InChI=1S/C44H46N12O8/c1-5-55-32(19-28(53-55)23-11-12-23)49-39-37-25-18-31(63-4)26(35-21(2)54-64-22(35)3)17-29(25)48-38(37)51-40(52-39)42(60)46-16-7-6-15-45-34(58)20-47-27-10-8-9-24-36(27)44(62)56(43(24)61)30-13-14-33(57)50-41(30)59/h8-10,17-19,23,30,47H,5-7,11-16,20H2,1-4H3,(H,45,58)(H,46,60)(H,50,57,59)(H2,48,49,51,52)",JZUWVOKWDMEWLL-UHFFFAOYSA-N
CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C(NCCCCNC(CNc2cccc3C(N(C4CCC(NC4=O)=O)C(c23)=O)=O)=O)=O)n1)c1c(C)noc1C)OC,BRD4,,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C=O)n1)c1c(C)noc1C)OC,CC(NCCCCN)=O,2,6,O60885,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,6C7R,6C7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,870.928,870.3561564,4.35,64,9,15,6,16,260.46,C44H46N12O8,"InChI=1S/C44H46N12O8/c1-5-55-32(19-28(53-55)23-11-12-23)49-39-37-25-18-31(63-4)26(35-21(2)54-64-22(35)3)17-29(25)48-38(37)51-40(52-39)42(60)46-16-7-6-15-45-34(58)20-47-27-10-8-9-24-36(27)44(62)56(43(24)61)30-13-14-33(57)50-41(30)59/h8-10,17-19,23,30,47H,5-7,11-16,20H2,1-4H3,(H,45,58)(H,46,60)(H,50,57,59)(H2,48,49,51,52)",JZUWVOKWDMEWLL-UHFFFAOYSA-N
CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C(NCCCCCCCOc2cccc3C(N(C4CCC(NC4=O)=O)C(c23)=O)=O)=O)n1)c1c(C)noc1C)OC,BRD2,,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C=O)n1)c1c(C)noc1C)OC,C(CCCN)CCCO,2,7,P25440,CRBN,Q96SW2,7BQU,7BQU,4ALH,4ALH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,856.941,856.3656585,5.69,63,9,14,4,17,228.56,C45H48N10O8,"InChI=1S/C45H48N10O8/c1-5-54-34(22-29(52-54)25-14-15-25)48-40-38-27-21-33(61-4)28(36-23(2)53-63-24(36)3)20-30(27)47-39(38)50-41(51-40)43(58)46-18-9-7-6-8-10-19-62-32-13-11-12-26-37(32)45(60)55(44(26)59)31-16-17-35(56)49-42(31)57/h11-13,20-22,25,31H,5-10,14-19H2,1-4H3,(H,46,58)(H,49,56,57)(H2,47,48,50,51)",OFIGJQVJFADAFV-UHFFFAOYSA-N
CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C(NCCCCCCCOc2cccc3C(N(C4CCC(NC4=O)=O)C(c23)=O)=O)=O)n1)c1c(C)noc1C)OC,BRD4,,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C=O)n1)c1c(C)noc1C)OC,C(CCCN)CCCO,2,8,O60885,CRBN,Q96SW2,7BQU,7BQU,6C7R,6C7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,856.941,856.3656585,5.69,63,9,14,4,17,228.56,C45H48N10O8,"InChI=1S/C45H48N10O8/c1-5-54-34(22-29(52-54)25-14-15-25)48-40-38-27-21-33(61-4)28(36-23(2)53-63-24(36)3)20-30(27)47-39(38)50-41(51-40)43(58)46-18-9-7-6-8-10-19-62-32-13-11-12-26-37(32)45(60)55(44(26)59)31-16-17-35(56)49-42(31)57/h11-13,20-22,25,31H,5-10,14-19H2,1-4H3,(H,46,58)(H,49,56,57)(H2,47,48,50,51)",OFIGJQVJFADAFV-UHFFFAOYSA-N
CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C(NCCCCCCCNc2cccc3C(N(C4CCC(NC4=O)=O)C(c23)=O)=O)=O)n1)c1c(C)noc1C)OC,BRD2,,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C=O)n1)c1c(C)noc1C)OC,CCCCCCCN,2,9,P25440,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,4ALH,4ALH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,855.957,855.3816429,6.26,63,9,14,5,17,231.36,C45H49N11O7,"InChI=1S/C45H49N11O7/c1-5-55-34(22-30(53-55)25-14-15-25)49-40-38-27-21-33(62-4)28(36-23(2)54-63-24(36)3)20-31(27)48-39(38)51-41(52-40)43(59)47-19-10-8-6-7-9-18-46-29-13-11-12-26-37(29)45(61)56(44(26)60)32-16-17-35(57)50-42(32)58/h11-13,20-22,25,32,46H,5-10,14-19H2,1-4H3,(H,47,59)(H,50,57,58)(H2,48,49,51,52)",NQUBBBPLONXGFF-UHFFFAOYSA-N
CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C(NCCCCCCCNc2cccc3C(N(C4CCC(NC4=O)=O)C(c23)=O)=O)=O)n1)c1c(C)noc1C)OC,BRD4,,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,CCn1c(cc(C2CC2)n1)Nc1c2c3cc(c(cc3[nH]c2nc(C=O)n1)c1c(C)noc1C)OC,CCCCCCCN,2,10,O60885,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,6C7R,6C7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,855.957,855.3816429,6.26,63,9,14,5,17,231.36,C45H49N11O7,"InChI=1S/C45H49N11O7/c1-5-55-34(22-30(53-55)25-14-15-25)49-40-38-27-21-33(62-4)28(36-23(2)54-63-24(36)3)20-31(27)48-39(38)51-41(52-40)43(59)47-19-10-8-6-7-9-18-46-29-13-11-12-26-37(29)45(61)56(44(26)60)32-16-17-35(57)50-42(32)58/h11-13,20-22,25,32,46H,5-10,14-19H2,1-4H3,(H,47,59)(H,50,57,58)(H2,48,49,51,52)",NQUBBBPLONXGFF-UHFFFAOYSA-N
